volume,curbweight,peakrpm,citympg,horsepower,fueltype_diesel,fueltype_gas,price
528019.904,2548,5000,21,111,0,1,13495.0
528019.904,2548,5000,21,111,0,1,16500.0
587592.6399999999,2823,5000,19,154,0,1,16500.0
634816.956,2337,5500,24,102,0,1,13950.0
636734.832,2824,5500,18,115,0,1,17450.0
624189.969,2507,5500,19,110,0,1,15250.0
766364.046,2844,5500,19,110,0,1,17710.0
766364.046,2954,5500,19,110,0,1,18920.0
769115.8019999999,3086,5500,17,140,0,1,23875.0
629188.56,3053,5500,16,160,0,1,17859.167
622095.5519999999,2395,5800,23,101,0,1,16430.0
622095.5519999999,2395,5800,23,101,0,1,16925.0
622095.5519999999,2710,4250,21,121,0,1,20970.0
622095.5519999999,2765,4250,21,121,0,1,21105.0
704276.3700000001,3055,4250,20,121,0,1,24565.0
704276.3700000001,3230,5400,16,182,0,1,30760.0
706639.3740000002,3380,5400,16,182,0,1,41315.0
786358.99,3505,5400,15,182,0,1,36880.0
452643.156,1488,5100,47,48,0,1,5151.0
515592.48000000004,1874,5400,38,70,0,1,6295.0
525183.36,1909,5400,38,70,0,1,6575.0
509815.592,1876,5500,37,68,0,1,5572.0
509815.592,1876,5500,31,68,0,1,6377.0
509815.592,2128,5500,24,102,0,1,7957.0
507808.444,1967,5500,31,68,0,1,6229.0
507808.444,1989,5500,31,68,0,1,6692.0
507808.444,1989,5500,31,68,0,1,7609.0
507808.444,2191,5500,24,102,0,1,8558.0
674493.7679999999,2535,5000,24,88,0,1,8921.0
576454.632,2811,5000,19,145,0,1,12964.0
469388.95199999993,1713,4800,49,58,0,1,6479.0
469388.95199999993,1819,6000,31,76,0,1,6855.0
504960.0,1837,5500,38,60,0,1,5399.0
504960.0,1940,6000,30,76,0,1,6529.0
504960.0,1956,6000,30,76,0,1,7129.0
569939.2000000001,2010,6000,30,76,0,1,7295.0
585255.6269999999,2024,6000,30,76,0,1,7295.0
582089.3,2236,5800,27,86,0,1,7895.0
582089.3,2289,5800,27,86,0,1,9095.0
618691.9280000001,2304,5800,27,86,0,1,8845.0
593071.2500000001,2372,5800,27,86,0,1,10295.0
618691.9280000001,2465,5800,24,101,0,1,12945.0
569190.6,2293,5500,25,100,0,1,10345.0
564385.4099999999,2337,4800,24,78,0,1,6785.0
515592.48000000004,1874,5400,38,70,0,1,8916.5
515592.48000000004,1909,5400,38,70,0,1,8916.5
578430.928,2734,5000,24,90,0,1,11048.0
733506.0479999998,4066,4750,15,176,0,1,32250.0
733506.0479999998,4066,4750,15,176,0,1,35550.0
646926.1559999998,3950,5000,13,262,0,1,36000.0
552589.302,1890,5000,30,68,0,1,5195.0
552589.302,1900,5000,31,68,0,1,6095.0
552589.302,1905,5000,31,68,0,1,6795.0
579333.0960000001,1945,5000,31,68,0,1,6695.0
579333.0960000001,1950,5000,31,68,0,1,7395.0
550723.68,2380,6000,17,101,0,1,10945.0
550723.68,2380,6000,17,101,0,1,11845.0
550723.68,2385,6000,17,101,0,1,13645.0
550723.68,2500,6000,16,135,0,1,15645.0
634932.6900000001,2385,4800,26,84,0,1,8845.0
656215.3500000001,2410,4800,26,84,0,1,8495.0
634932.6900000001,2385,4800,26,84,0,1,10595.0
656215.3500000001,2410,4800,26,84,0,1,10245.0
656215.3500000001,2443,4650,36,64,1,0,10795.0
656215.3500000001,2425,4800,26,84,0,1,11245.0
629272.0,2670,5000,19,120,0,1,18280.0
629272.0,2700,4200,31,72,1,0,18344.0
758245.255,3515,4350,22,123,1,0,25552.0
787769.849,3750,4350,22,123,1,0,28248.0
723650.625,3495,4350,22,123,1,0,28176.0
817837.446,3770,4350,22,123,1,0,31600.0
820742.73,3740,4750,16,155,0,1,34184.0
645726.42,3685,4750,16,155,0,1,35056.0
846007.6590000001,3900,4500,14,184,0,1,40960.0
794568.9599999998,3715,4500,14,184,0,1,45400.0
664789.76,2910,5000,19,175,0,1,16503.0
514610.0960000001,1918,5500,37,68,0,1,5389.0
514610.0960000001,1944,5500,31,68,0,1,6189.0
514610.0960000001,2004,5500,31,68,0,1,6669.0
509815.592,2145,5500,24,102,0,1,7689.0
558921.48,2370,5500,23,116,0,1,9959.0
558921.48,2328,5000,25,88,0,1,8499.0
576454.632,2833,5000,19,145,0,1,12629.0
576454.632,2921,5000,19,145,0,1,14869.0
576454.632,2926,5000,19,145,0,1,14489.0
581787.9360000001,2365,5000,25,88,0,1,6989.0
581787.9360000001,2405,5000,25,88,0,1,8189.0
581787.9360000001,2403,5500,23,116,0,1,9279.0
581787.9360000001,2403,5500,23,116,0,1,9279.0
574764.63,1889,5200,31,69,0,1,5499.0
574764.63,2017,4800,45,55,1,0,7099.0
574764.63,1918,5200,31,69,0,1,6649.0
574764.63,1938,5200,31,69,0,1,6849.0
580943.6599999999,2024,5200,31,69,0,1,7349.0
574764.63,1951,5200,31,69,0,1,7299.0
563129.424,2028,5200,31,69,0,1,7799.0
574764.63,1971,5200,31,69,0,1,7499.0
580943.6599999999,2037,5200,31,69,0,1,7999.0
552247.696,2008,5200,31,69,0,1,8249.0
618420.6960000001,2324,5200,27,97,0,1,8949.0
618420.6960000001,2302,5200,27,97,0,1,9549.0
665776.055,3095,5200,17,152,0,1,13499.0
688677.99,3296,5200,17,152,0,1,14399.0
676402.09,3060,5200,19,152,0,1,13499.0
576049.341,3071,5200,19,160,0,1,17199.0
576049.341,3139,5200,17,200,0,1,19699.0
602371.4550000001,3139,5200,19,160,0,1,18399.0
724074.876,3020,5000,19,97,0,1,11900.0
724074.876,3197,4150,28,95,1,0,13200.0
798599.4120000001,3230,5000,19,97,0,1,12440.0
798599.4120000001,3430,4150,25,95,1,0,13860.0
724074.876,3075,5000,19,95,0,1,15580.0
724074.876,3252,4150,28,95,1,0,16900.0
771389.8920000001,3285,5000,19,95,0,1,16695.0
798599.4120000001,3485,4150,25,95,1,0,17075.0
